"","date","value","log"
"1",1959-09-01,80842,11.3002519114391
"2",1959-12-01,81602,11.3096090504558
"3",1960-03-01,82016,11.3146696291638
"4",1960-06-01,84257,11.3416269308166
"5",1960-09-01,84438,11.3437728162246
"6",1960-12-01,84286,11.3419710566514
"7",1961-03-01,84539,11.3449682453307
"8",1961-06-01,83609,11.3339064487807
"9",1961-09-01,83006,11.3266681733226
"10",1961-12-01,83959,11.3380838634301
"11",1962-03-01,86308,11.3656775726593
"12",1962-06-01,87969,11.3847397586705
"13",1962-09-01,88673,11.3927107251163
"14",1962-12-01,90263,11.4104829101431
"15",1963-03-01,92352,11.4333626421335
"16",1963-06-01,91159,11.4203605135759
"17",1963-09-01,94901,11.4605895219503
"18",1963-12-01,96925,11.4816927625391
"19",1964-03-01,96758,11.4799682948121
"20",1964-06-01,99153,11.5044193906763
"21",1964-09-01,99760,11.5105225803539
"22",1964-12-01,102593,11.5385249832704
"23",1965-03-01,103470,11.547036994599
"24",1965-06-01,105090,11.5625724048596
"25",1965-09-01,104774,11.5595609284862
"26",1965-12-01,105032,11.5620203446139
"27",1966-03-01,104732,11.5591599853098
"28",1966-06-01,106160,11.5727026690061
"29",1966-09-01,109160,11.6005699748223
"30",1966-12-01,109881,11.6071532410051
"31",1967-03-01,114174,11.6454788795301
"32",1967-06-01,114016,11.6440940684056
"33",1967-09-01,116153,11.6626635665348
"34",1967-12-01,117162,11.6713128714686
"35",1968-03-01,116120,11.6623794181386
"36",1968-06-01,120583,11.7000935914818
"37",1968-09-01,122177,11.7132260919655
"38",1968-12-01,126736,11.7498614617041
"39",1969-03-01,125871,11.7430128519588
"40",1969-06-01,128360,11.7625940952238
"41",1969-09-01,130479,11.7789675732557
"42",1969-12-01,133488,11.8017668651419
"43",1970-03-01,136256,11.8222907482532
"44",1970-06-01,139020,11.8423730866545
"45",1970-09-01,138729,11.8402776688026
"46",1970-12-01,139334,11.8446292075163
"47",1971-03-01,141069,11.857004411364
"48",1971-06-01,141684,11.8613545046951
"49",1971-09-01,146103,11.8920671314089
"50",1971-12-01,145631,11.8888313041701
"51",1972-03-01,143895,11.8768391459202
"52",1972-06-01,147099,11.8988611084699
"53",1972-09-01,146358,11.893810954104
"54",1972-12-01,147888,11.9042105095046
"55",1973-03-01,151728,11.9298447231235
"56",1973-06-01,152014,11.9317279008501
"57",1973-09-01,153536,11.9416903461994
"58",1973-12-01,157369,11.9663486451234
"59",1974-03-01,157417,11.9666536142159
"60",1974-06-01,154222,11.9461484017894
"61",1974-09-01,156046,11.9579061145604
"62",1974-12-01,156226,11.959058955801
"63",1975-03-01,156823,11.9628730598149
"64",1975-06-01,161783,11.9940112101013
"65",1975-09-01,159991,11.9828728426339
"66",1975-12-01,157586,11.9677266199728
"67",1976-03-01,164568,12.0110791376323
"68",1976-06-01,165058,12.0140522062673
"69",1976-09-01,166399,12.0221437977358
"70",1976-12-01,167832,12.0307187580518
"71",1977-03-01,166929,12.0253238512965
"72",1977-06-01,169294,12.039392127446
"73",1977-09-01,168568,12.0350945081966
"74",1977-12-01,168041,12.0319632762297
"75",1978-03-01,169212,12.0389076456252
"76",1978-06-01,170637,12.0472937721187
"77",1978-09-01,173231,12.0623812429285
"78",1978-12-01,174637,12.0704648128811
"79",1979-03-01,179443,12.0976128877347
"80",1979-06-01,176553,12.0813763935656
"81",1979-09-01,178193,12.0906225115414
"82",1979-12-01,181623,12.109688389112
"83",1980-03-01,182478,12.114384896793
"84",1980-06-01,182929,12.1168533783985
"85",1980-09-01,183921,12.1222615965689
"86",1980-12-01,187071,12.1392435029212
"87",1981-03-01,187774,12.1429943910175
"88",1981-06-01,190698,12.1584463038565
"89",1981-09-01,194547,12.1784290580933
"90",1981-12-01,193750,12.1743239472156
"91",1982-03-01,192200,12.1662917755183
"92",1982-06-01,193912,12.1751597268867
"93",1982-09-01,192629,12.1685213381433
"94",1982-12-01,189529,12.1522973260969
"95",1983-03-01,187699,12.1425948949099
"96",1983-06-01,187316,12.1405523092365
"97",1983-09-01,192527,12.1679916826148
"98",1983-12-01,195767,12.1846804555484
"99",1984-03-01,200551,12.2088238574735
"100",1984-06-01,202889,12.2204143104458
"101",1984-09-01,204764,12.2296133754462
"102",1984-12-01,206003,12.2356460107725
"103",1985-03-01,209049,12.2503239532287
"104",1985-06-01,213735,12.272492208898
"105",1985-09-01,216480,12.2852534434046
"106",1985-12-01,215860,12.2823853283793
"107",1986-03-01,217343,12.2892320297791
"108",1986-06-01,216958,12.2874590654026
"109",1986-09-01,217525,12.2900690654342
"110",1986-12-01,221103,12.3063839352745
"111",1987-03-01,223306,12.3162983071493
"112",1987-06-01,226866,12.3321148137929
"113",1987-09-01,230949,12.3499521859078
"114",1987-12-01,235613,12.3699459075056
"115",1988-03-01,236601,12.3741304570602
"116",1988-06-01,236843,12.3751527533448
"117",1988-09-01,238732,12.3830968628306
"118",1988-12-01,242652,12.3993835971237
"119",1989-03-01,244896,12.4085889096096
"120",1989-06-01,250189,12.4299719112203
"121",1989-09-01,252318,12.4384454757228
"122",1989-12-01,251641,12.4357587476071
"123",1990-03-01,253527,12.4432256052174
"124",1990-06-01,253871,12.4445815429732
"125",1990-09-01,252550,12.4393645278962
"126",1990-12-01,253941,12.4448572355541
"127",1991-03-01,250751,12.4322156938521
"128",1991-06-01,250227,12.4301237848618
"129",1991-09-01,251370,12.4346812362754
"130",1991-12-01,251546,12.4353811543818
"131",1992-03-01,253539,12.4432729363341
"132",1992-06-01,255375,12.4504883321199
"133",1992-09-01,257851,12.4601371776954
"134",1992-12-01,263251,12.4808632286595
"135",1993-03-01,265076,12.4877718563041
"136",1993-06-01,266590,12.4934671766459
"137",1993-09-01,266912,12.4946742950413
"138",1993-12-01,271795,12.5128033846507
"139",1994-03-01,276328,12.5293438449012
"140",1994-06-01,279621,12.5411903938175
"141",1994-09-01,281753,12.5487860795827
"142",1994-12-01,284861,12.5597566209788
"143",1995-03-01,284635,12.558962936697
"144",1995-06-01,285991,12.5637156207754
