date,industry,gop,sales,margin
2002-09-01,Mining,6196,16240,38.152709359605915
2002-09-01,Manufacturing,6155,69569,8.847331426353692
2002-09-01,"Electricity, gas, water and waste services",1301,4992,26.061698717948715
2002-09-01,Construction,2107,30389,6.933429859488631
2002-09-01,Wholesale trade,3663,66319,5.523304030519157
2002-09-01,Retail trade,2098,58129,3.609213989574911
2002-09-01,Accommodation and food services,765,11944,6.404889484259879
2002-09-01,"Transport, postal and warehousing",2019,15430,13.084899546338303
2002-09-01,Information media and telecommunications,1515,8784,17.247267759562842
2002-09-01,Financial and insurance services,671,7686,8.73015873015873
2002-09-01,"Rental, hiring and real estate services",2545,9385,27.117741076185403
2002-09-01,"Professional, scientific and technical services",748,21323,3.5079491628757684
2002-09-01,Administrative and support services,540,9923,5.441902650408142
2002-09-01,Arts and recreation services,349,3085,11.312803889789302
2002-09-01,Other services,440,7277,6.046447711969218
2002-09-01,Total,31112,340475,9.137822160217343
2002-09-01,Total ex mining,24916,324235,7.684549786420343
2002-12-01,Mining,6296,16123,39.049804626930474
2002-12-01,Manufacturing,6869,70928,9.684468757049402
2002-12-01,"Electricity, gas, water and waste services",1339,5110,26.20352250489237
2002-12-01,Construction,2459,32420,7.584824182603331
2002-12-01,Wholesale trade,3553,66658,5.330192925080261
2002-12-01,Retail trade,2116,58391,3.623846140672364
2002-12-01,Accommodation and food services,942,11939,7.890108049250356
2002-12-01,"Transport, postal and warehousing",2001,15295,13.082706766917292
2002-12-01,Information media and telecommunications,1672,8539,19.580747160089004
2002-12-01,Financial and insurance services,737,7561,9.747387911651897
2002-12-01,"Rental, hiring and real estate services",2727,9679,28.174398181630334
2002-12-01,"Professional, scientific and technical services",590,20598,2.864355762695407
2002-12-01,Administrative and support services,465,9623,4.832172919048114
2002-12-01,Arts and recreation services,275,3261,8.432996013492794
2002-12-01,Other services,461,7407,6.223842311327123
2002-12-01,Total,32501,343532,9.46083625397343
2002-12-01,Total ex mining,26205,327409,8.003750660488869
2003-03-01,Mining,6346,16027,39.595682286142136
2003-03-01,Manufacturing,6928,72587,9.5444087784314
2003-03-01,"Electricity, gas, water and waste services",1260,5164,24.3996901626646
2003-03-01,Construction,2123,31713,6.694415539368713
2003-03-01,Wholesale trade,3747,68027,5.5081070751319325
2003-03-01,Retail trade,2195,58821,3.7316604613998403
2003-03-01,Accommodation and food services,715,11790,6.064461407972859
2003-03-01,"Transport, postal and warehousing",1934,14960,12.927807486631016
2003-03-01,Information media and telecommunications,1732,9139,18.951745267534744
2003-03-01,Financial and insurance services,931,7971,11.67983941788985
2003-03-01,"Rental, hiring and real estate services",2646,10083,26.242189824457007
2003-03-01,"Professional, scientific and technical services",647,21062,3.0718830120596334
2003-03-01,Administrative and support services,517,9764,5.294961081523965
2003-03-01,Arts and recreation services,401,3309,12.118464792988819
2003-03-01,Other services,472,7508,6.2866275972296215
2003-03-01,Total,32593,347925,9.367823525185026
2003-03-01,Total ex mining,26247,331898,7.908152504685175
2003-06-01,Mining,5648,14950,37.77926421404682
2003-06-01,Manufacturing,5851,71237,8.213428415009053
2003-06-01,"Electricity, gas, water and waste services",1496,5244,28.527841342486653
2003-06-01,Construction,1869,33338,5.606215129881816
2003-06-01,Wholesale trade,3327,66790,4.981284623446624
2003-06-01,Retail trade,2151,59667,3.6050077932525513
