"","date","industry","gop","sales","margin"
"1",2002-09-01,"Mining",6196,16240,38.1527093596059
"2",2002-09-01,"Manufacturing",6155,69569,8.84733142635369
"3",2002-09-01,"Electricity, gas, water and waste services",1301,4992,26.0616987179487
"4",2002-09-01,"Construction",2107,30389,6.93342985948863
"5",2002-09-01,"Wholesale trade",3663,66319,5.52330403051916
"6",2002-09-01,"Retail trade",2098,58129,3.60921398957491
"7",2002-09-01,"Accommodation and food services",765,11944,6.40488948425988
"8",2002-09-01,"Transport, postal and warehousing",2019,15430,13.0848995463383
"9",2002-09-01,"Information media and telecommunications",1515,8784,17.2472677595628
"10",2002-09-01,"Financial and insurance services",671,7686,8.73015873015873
"11",2002-09-01,"Rental, hiring and real estate services",2545,9385,27.1177410761854
"12",2002-09-01,"Professional, scientific and technical services",748,21323,3.50794916287577
"13",2002-09-01,"Administrative and support services",540,9923,5.44190265040814
"14",2002-09-01,"Arts and recreation services",349,3085,11.3128038897893
"15",2002-09-01,"Other services",440,7277,6.04644771196922
"16",2002-09-01,"Total",31112,340475,9.13782216021734
"17",2002-09-01,"Total less mining",24916,324235,7.68454978642034
"18",2002-12-01,"Mining",6296,16123,39.0498046269305
"19",2002-12-01,"Manufacturing",6869,70928,9.6844687570494
"20",2002-12-01,"Electricity, gas, water and waste services",1339,5110,26.2035225048924
"21",2002-12-01,"Construction",2459,32420,7.58482418260333
"22",2002-12-01,"Wholesale trade",3553,66658,5.33019292508026
"23",2002-12-01,"Retail trade",2116,58391,3.62384614067236
"24",2002-12-01,"Accommodation and food services",942,11939,7.89010804925036
"25",2002-12-01,"Transport, postal and warehousing",2001,15295,13.0827067669173
"26",2002-12-01,"Information media and telecommunications",1672,8539,19.580747160089
"27",2002-12-01,"Financial and insurance services",737,7561,9.7473879116519
"28",2002-12-01,"Rental, hiring and real estate services",2727,9679,28.1743981816303
"29",2002-12-01,"Professional, scientific and technical services",590,20598,2.86435576269541
"30",2002-12-01,"Administrative and support services",465,9623,4.83217291904811
"31",2002-12-01,"Arts and recreation services",275,3261,8.43299601349279
"32",2002-12-01,"Other services",461,7407,6.22384231132712
"33",2002-12-01,"Total",32501,343532,9.46083625397343
"34",2002-12-01,"Total less mining",26205,327409,8.00375066048887
"35",2003-03-01,"Mining",6346,16027,39.5956822861421
"36",2003-03-01,"Manufacturing",6928,72587,9.5444087784314
"37",2003-03-01,"Electricity, gas, water and waste services",1260,5164,24.3996901626646
"38",2003-03-01,"Construction",2123,31713,6.69441553936871
"39",2003-03-01,"Wholesale trade",3747,68027,5.50810707513193
"40",2003-03-01,"Retail trade",2195,58821,3.73166046139984
"41",2003-03-01,"Accommodation and food services",715,11790,6.06446140797286
"42",2003-03-01,"Transport, postal and warehousing",1934,14960,12.927807486631
"43",2003-03-01,"Information media and telecommunications",1732,9139,18.9517452675347
"44",2003-03-01,"Financial and insurance services",931,7971,11.6798394178899
"45",2003-03-01,"Rental, hiring and real estate services",2646,10083,26.242189824457
"46",2003-03-01,"Professional, scientific and technical services",647,21062,3.07188301205963
"47",2003-03-01,"Administrative and support services",517,9764,5.29496108152397
"48",2003-03-01,"Arts and recreation services",401,3309,12.1184647929888
"49",2003-03-01,"Other services",472,7508,6.28662759722962
"50",2003-03-01,"Total",32593,347925,9.36782352518503
"51",2003-03-01,"Total less mining",26247,331898,7.90815250468517
"52",2003-06-01,"Mining",5648,14950,37.7792642140468
"53",2003-06-01,"Manufacturing",5851,71237,8.21342841500905
"54",2003-06-01,"Electricity, gas, water and waste services",1496,5244,28.5278413424867
"55",2003-06-01,"Construction",1869,33338,5.60621512988182
"56",2003-06-01,"Wholesale trade",3327,66790,4.98128462344662
"57",2003-06-01,"Retail trade",2151,59667,3.60500779325255
"58",2003-06-01,"Accommodation and food services",811,11843,6.84792704551212
"59",2003-06-01,"Transport, postal and warehousing",1987,15027,13.2228655087509
"60",2003-06-01,"Information media and telecommunications",1645,8625,19.0724637681159
"61",2003-06-01,"Financial and insurance services",1445,8649,16.7071337726905
"62",2003-06-01,"Rental, hiring and real estate services",2516,9469,26.5709156193896
"63",2003-06-01,"Professional, scientific and technical services",233,21710,1.0732381391064
"64",2003-06-01,"Administrative and support services",388,9944,3.90185036202735
"65",2003-06-01,"Arts and recreation services",630,3613,17.4370329366178
"66",2003-06-01,"Other services",470,7605,6.1801446416831
"67",2003-06-01,"Total",30467,347711,8.76216168024595
"68",2003-06-01,"Total less mining",24819,332761,7.45850625524025
