date,industry,gva,gos,margin
2002-09-01,"Agriculture, forestry and fishing",6032,4318,71.58488063660478
2002-09-01,Mining,9480,7433,78.4071729957806
2002-09-01,Manufacturing,21111,8750,41.447586566245086
2002-09-01,"Electricity, gas, water and waste services",5309,3545,66.77340365417216
2002-09-01,Construction,11809,5972,50.57159793377932
2002-09-01,Wholesale trade,9583,3549,37.034331628926225
2002-09-01,Retail trade,9182,2365,25.75691570463951
2002-09-01,Accommodation and food services,4912,1274,25.936482084690553
2002-09-01,"Transport, postal and warehousing",9369,4112,43.88942256377415
2002-09-01,Information media and telecommunications,7321,4725,64.54036333834175
2002-09-01,Financial and insurance services,14395,8277,57.49913164293158
2002-09-01,"Rental, hiring and real estate services",4965,2795,56.294058408862035
2002-09-01,"Professional, scientific and technical services",10275,1504,14.637469586374696
2002-09-01,Administrative and support services,5504,606,11.01017441860465
2002-09-01,Public administration and safety,10851,2082,19.18717168924523
2002-09-01,Education and training,8999,1131,12.568063118124236
2002-09-01,Health care and social assistance,10490,1842,17.55958055290753
2002-09-01,Arts and recreation services,1884,766,40.65817409766454
2002-09-01,Other services,3936,1325,33.66361788617886
2002-09-01,Ownership of dwellings,14717,13458,91.44526737786234
2002-09-01,Total,180087,79784,44.303031312643334
2002-09-01,Total less mining,170607,72351,42.40799029348151
2002-09-01,Total less mi and ag,164575,68033,41.338599422755586
2002-12-01,"Agriculture, forestry and fishing",6025,4419,73.34439834024896
2002-12-01,Mining,8585,6508,75.80663948747815
2002-12-01,Manufacturing,21556,9030,41.890888847652626
2002-12-01,"Electricity, gas, water and waste services",5189,3432,66.13991135093467
2002-12-01,Construction,12519,6192,49.4608195542775
2002-12-01,Wholesale trade,9591,3484,36.325722031070796
2002-12-01,Retail trade,10080,3221,31.954365079365076
2002-12-01,Accommodation and food services,5012,1426,28.451715881883477
2002-12-01,"Transport, postal and warehousing",9146,3871,42.324513448502074
2002-12-01,Information media and telecommunications,7140,4696,65.7703081232493
2002-12-01,Financial and insurance services,14376,8341,58.02031163049527
2002-12-01,"Rental, hiring and real estate services",5244,3105,59.210526315789465
2002-12-01,"Professional, scientific and technical services",10324,1441,13.957768306857806
2002-12-01,Administrative and support services,5551,556,10.016213294901819
2002-12-01,Public administration and safety,11041,2091,18.938501947287385
2002-12-01,Education and training,9062,1094,12.072390200838667
2002-12-01,Health care and social assistance,10563,1805,17.087948499479314
2002-12-01,Arts and recreation services,1955,794,40.61381074168798
2002-12-01,Other services,4096,1400,34.1796875
2002-12-01,Ownership of dwellings,14885,13602,91.38058448102116
2002-12-01,Total,182744,81309,44.493389659852035
2002-12-01,Total less mining,174159,74801,42.94983319839916
2002-12-01,Total less mi and ag,168134,70382,41.860658760274546
2003-03-01,"Agriculture, forestry and fishing",5845,4229,72.3524379811805
2003-03-01,Mining,8955,6877,76.79508654383027
2003-03-01,Manufacturing,21590,8916,41.29689671144048
2003-03-01,"Electricity, gas, water and waste services",5130,3313,64.58089668615983
2003-03-01,Construction,12343,6130,49.6637770396176
2003-03-01,Wholesale trade,9995,3871,38.72936468234117
2003-03-01,Retail trade,9448,2592,27.434377646062657
