"","date","industry","gva","gos","margin"
"1",2002-09-01,"Agriculture, forestry and fishing",6032,4318,71.5848806366048
"2",2002-09-01,"Mining",9480,7433,78.4071729957806
"3",2002-09-01,"Manufacturing",21111,8750,41.4475865662451
"4",2002-09-01,"Electricity, gas, water and waste services",5309,3545,66.7734036541722
"5",2002-09-01,"Construction",11809,5972,50.5715979337793
"6",2002-09-01,"Wholesale trade",9583,3549,37.0343316289262
"7",2002-09-01,"Retail trade",9182,2365,25.7569157046395
"8",2002-09-01,"Accommodation and food services",4912,1274,25.9364820846906
"9",2002-09-01,"Transport, postal and warehousing",9369,4112,43.8894225637741
"10",2002-09-01,"Information media and telecommunications",7321,4725,64.5403633383417
"11",2002-09-01,"Financial and insurance services",14395,8277,57.4991316429316
"12",2002-09-01,"Rental, hiring and real estate services",4965,2795,56.294058408862
"13",2002-09-01,"Professional, scientific and technical services",10275,1504,14.6374695863747
"14",2002-09-01,"Administrative and support services",5504,606,11.0101744186047
"15",2002-09-01,"Public administration and safety",10851,2082,19.1871716892452
"16",2002-09-01,"Education and training",8999,1131,12.5680631181242
"17",2002-09-01,"Health care and social assistance",10490,1842,17.5595805529075
"18",2002-09-01,"Arts and recreation services",1884,766,40.6581740976645
"19",2002-09-01,"Other services",3936,1325,33.6636178861789
"20",2002-09-01,"Ownership of dwellings",14717,13458,91.4452673778623
"21",2002-09-01,"Total",180087,79784,44.3030313126433
"22",2002-09-01,"Total less mining",170607,72351,42.4079902934815
"23",2002-09-01,"Total less mi and ag",164575,68033,41.3385994227556
"24",2002-12-01,"Agriculture, forestry and fishing",6025,4419,73.344398340249
"25",2002-12-01,"Mining",8585,6508,75.8066394874782
"26",2002-12-01,"Manufacturing",21556,9030,41.8908888476526
"27",2002-12-01,"Electricity, gas, water and waste services",5189,3432,66.1399113509347
"28",2002-12-01,"Construction",12519,6192,49.4608195542775
"29",2002-12-01,"Wholesale trade",9591,3484,36.3257220310708
"30",2002-12-01,"Retail trade",10080,3221,31.9543650793651
"31",2002-12-01,"Accommodation and food services",5012,1426,28.4517158818835
"32",2002-12-01,"Transport, postal and warehousing",9146,3871,42.3245134485021
"33",2002-12-01,"Information media and telecommunications",7140,4696,65.7703081232493
"34",2002-12-01,"Financial and insurance services",14376,8341,58.0203116304953
"35",2002-12-01,"Rental, hiring and real estate services",5244,3105,59.2105263157895
"36",2002-12-01,"Professional, scientific and technical services",10324,1441,13.9577683068578
"37",2002-12-01,"Administrative and support services",5551,556,10.0162132949018
"38",2002-12-01,"Public administration and safety",11041,2091,18.9385019472874
"39",2002-12-01,"Education and training",9062,1094,12.0723902008387
"40",2002-12-01,"Health care and social assistance",10563,1805,17.0879484994793
"41",2002-12-01,"Arts and recreation services",1955,794,40.613810741688
"42",2002-12-01,"Other services",4096,1400,34.1796875
